review,rating,Label
"
Dang. I bought another 4 pairs of these. Comfort heaven straight out of the box. The only issue is that the shoe strings cannot stay tied for anything - even in double knots...it's very odd - and this is the case on all the pairs. Other than that, wow.
",5,neutral
"
I hope Nike never stops making these shoes. There are a couple of minor negatives. The soles are prone to pick up pebbles and the sole wears quickly. Even so, the 5-star rating is well deserved. The shoes are the barefoot feel type. I'm starting my third consecutive pair since 2013. As long as these shoes are available, I'll never wear anything else.
",5,happy
"
I set a goal of 350 miles on my Nike app for these shoes but I suspect I'll get many more than that before they are ready for sneaker heaven. I'm just starting to get into serious runs (a few weeks shy of my 49th birthday) and found these recommended on a website. They certainly are lightweight and fit very well. My first run took me 6.6 miles which ispositive the most I've done to this point so right now they have been more than worth it. Nike doesn't disappoint and the free run only adds to their vast legend.
",5,happy
"
Bought these and they are comfortable, form fitting and they don’t move around. Keeps your foot snug and like the other 1,000,000 reviews, the verdict is buy, buy, buy again. You deserve these shoes. Don’t miss out on this opportunity.
",5,happy
"
Wrong color came and they were way too small!
",2,sad
"
I’ve been wearing these for a couple months now and I’ve decided that they’re the most comfortable shoes that I’ve ever put on my feet.
",5,happy
"
These are light & comfortable. They are perfect for working out or just to have on throughout the day. I would buy these again 10/10.
",5,happy
"
as a lifelong Nike fan, I have had dozens of their shoes. This is definitely the most comfortable for walking or easy jogging. Very versatile and I like them a lot.  Assuming they continue making them I will buy another pair before long.
",5,happy
"
Is great shoes but the soles color is horrible.
",1,confused
"
Dang. I bought another 4 pairs of these. Comfort heaven straight out of the box. The only issue is that the shoe strings cannot stay tied for anything - even in double knots...it's very odd - and this is the case on all the pairs. Other than that, wow.
",5,happy
"
I set a goal of 350 miles on my Nike app for these shoes but I suspect I'll get many more than that before they are ready for sneaker heaven. I'm just starting to get into serious runs (a few weeks shy of my 49th birthday) and found these recommended on a website. They certainly are lightweight and fit very well. My first run took me 6.6 miles which is the most I've done to this point so right now they have been more than worth it. Nike doesn't disappoint and the free run only adds to their vast legend.
",5,happy
"
The best shoes out there for running. Coming from someone who works out and run track, there are excellent
",5,happy
"
Nike no longer makes quality products that fit consistenly, we all know why, they are nike and they can mass produce synthetic human fecal matter and people would still buy it....
",3,angry
"
It was so tight that my wife had to help me put it on. The way the tongue is connected to the inner shoe makes it a problem to put on. The arch was so hard that after walking just ten minutes my feet hurt so bad it was unbearable. I had to take them off. Then and there I knew I had to return them for a refund. I would advise not to buy shoes on line. Only buy shoes you can try on before you purchase them. Disappointed!
",1,sad
"
Most comfortable shoe I've ever owned. As a nurse I'm on my feet all day and love them!!
",5,happy
"
This is the worst nikes shoes I have ever bought . There’s too many small holes in the soles and the pebbles gets stuck like crazy. I only wore it like few days and the pebbles have already made a hole in the soles. Do not buy this shoes . I am returning it .
",1,angry
"
Purchased as a gift and fit was perfect.  Did not have to return for a larger size.
",5,happy
"
Very good to work at the gym
",5,neutral
"
Second pair of these; my favorite running shoes
",5,happy
"
Perfect product exactly what l wanted
",5,happy
"
Best I ever purchased, nice/comfortable fit
",5,happy
"
Very comfortable
",5,happy
"
Great fit! Stylish! Comfortable!
",5,happy
"
Very lightweight and very comfortable
",5,happy
"
Running/ Great shoe !
",5,happy
"
I had this shoes for long time and I wearing almost every day, the material is really good, and also are very  comfortable.
",5,happy
"
The color was the reason I  picked this shoes... very frickin  disappointed.  I'm thinking  of returning them. False advertising.
",1,sad
"
So, I like these running shoes so much and find them so comfortable that I ordered a new pair, but I thought I'd share a comparison of the old and new shoes so you can see how the shoes wore (with me); and their pebble collecting feature is unbeatable.Why I like them: I have flat feet and can't tolerate any arch support whatsoever. If there's the teenist amount of arch support, the pain is intense. These provide none. They're like wearing super cushy moccasins, which is the reason I initially bought them; and am eternally grateful to have them.Your pebble collection: The design of the soles are genius for collecting stones of all kinds. You won't notice them while running, but I keep a little screwdriver handy to pick away at the stones from time to time (not while I'm running but once I'm home). It's actually kinda meditative. I also have a pair for walking, and only walking, and while strolling in Potsdam, at Sanssouci, where King Frederick's paths are paved with pebbles, they must have lost at least a third of their pebbles to my shoes. Never noticed though.I'm a light runner. I might do two miles a day, 10 to 12 miles a week. I've had the blue shoes for 5 years now? Only about a third of my running is on pavement. Most of it is on paths and dirt roads (also excellent areas for pebble collectors).They will not keep your feet dry. But they also don't soak up water. I've run in the rain with them and they dry out overnight.The fit is tricky. I bought a leather version (for walking) of these shoes and had to buy a half size up from the (nylon?) mesh versions.I was tempted to give them four stars, but the unrivaled pebble collecting feature easily bumped the shoes to five.
",5,happy
"
I found a pair of these at my local Nike Factory store (size 10.5, black/anthracite color). They are VERY comfortable out of the box - the sole is soft and the feeling when putting on the shoe is similar to that of putting on an extra sock (it is snug, stretchy, and yet not too tight). The high heel tab (that supports your Achilles heel) is very soft and makes the shoe even more comfortable. Also, the shoe is very bendable/stretchable. In terms of fit, I normally wear size 10 dress shoes and size 10.5 athletic shoes. I tried both the 10 and 10.5 and felt better with the 10.5. So I would say - go with your usual athletic shoes size or go 1/2 size larger than your dress shoe size.
",5,happy
"
First off, I am an avid runner and have been running exclusively on Nike Free’s for over a decade. These shoes are comfortable, but they are moving backwards in design. Rocks and debris stick in the tread more than ever. The shoes are hotter, so my feet expand and my toes bruise more (I live in South Florida and it’s July). The back “lip” doesn’t let your runners socks cover and causes blisters. This is not the best Nike Free, but it’s better than your traditional Nike runner.  i run everyday with a long run once a week and my toes are bruised and nails black. This hasn’t happened since I stopped wearing cotton socks. Nike go back to your previous design...much better!  I love the design to natural motion as it creates a basis for less injury and will still run in these shoes, but there’s been better before this one.
",2,confused
"
it was really comfy
",5,happy
"
The design of these shoes causes them to squeak with each and every step. It doesn't discriminate what surface you walk on, it squeaks regardless.
",2,sad
"
After a few months of wear I put on the shoes and as I tried to lace them up the lace holes ripped open. No way to fix them. Who knows? Maybe they're not even legit Nikes.
",1,sad
"
Ordered a size UK 9 which is what I usually am, shoe was very tight with no space between toes and top.Ended up returning and ordering a UK 10, which fits perfectly and is very comfortable and light.Great comfy shoe for running, just buy one size bigger!
",4,happy
"
looks nice and is comfortable.Not taken them out for a long run, I just use these shoes to travel to and from work.
",4,neutral
"
After buying the Nike Flex 2017 model which is very similar to the Free 2018 I expected sizing to be perfect. However, size 9 has proved to be too small this time. Also, for what you are paying I would say this isn't a great value for money shoe.
",3,confused
"
Probably the most comfortable shoes ever, for me.  I went for size 9, a size above my actual size 8 - from previous experience of Nike trainers.  Prefer these to later version of Nike free run.
",5,happy
"
Best Nike’s I’ve ever own really like them just buy them
",5,happy
"
Great product and fast shipping!!
",5,happy
"
Wrong color came and they were way too small!
",2,sad
"
Is great shoes but the soles color is horrible.
",1,neutral
"
Nike no longer makes quality products that fit consistenly, we all know why, they are nike and they can mass produce synthetic human fecal matter and people would still buy it....
",3,angry
